DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
CalleMazarambroz_4InterseccionconCalleCazalegasyCalleCarranque,Calle,Mazarambroz,4,CARABANCHEL,438203.57,4469646.48,LUNES_TARDE_19:15_20:45,"Calle Mazarambroz, 4"
CalleOlivadePlasencia_1,Calle,Oliva de Plasencia,1,LATINA,433836.4,4470064.42,LUNES_TARDE_19:15_20:45,"Calle Oliva de Plasencia, 1"
CalleCondeDuque_30,Calle,Conde Duque,30,CENTRO,439762.85,4475482.28,MARTES_MAÑANA_7:00_8:30,"Calle Conde Duque, 30"
CalleCooperativaElectrica_18,Calle,Cooperativa Eléctrica,18,PUENTE VALLECAS,443927.89,4469543.93,MARTES_MAÑANA_7:00_8:30,"Calle Cooperativa Eléctrica, 18"
CalleGuetaria_47InterseccionconCalleVillabona,Calle,Guetaria,47,USERA,439253.3,4468975.92,MARTES_MAÑANA_7:00_8:30,"Calle Guetaria, 47"
CallePeniarandadeBracamonte_53,Calle,Peñaranda de Bracamonte,53,VILLA DE VALLECAS,448130.3,4468637.39,MARTES_MAÑANA_7:00_8:30,"Calle Peñaranda de Bracamonte, 53"
CallePradoluengo_243,Calle,Pradoluengo,243,BARAJAS,450648.62,4478009.91,MARTES_MAÑANA_7:00_8:30,"Calle Pradoluengo, 243"
AvenidaVilladeVallecas_13,Avenida,Villa de Vallecas,13,VILLA DE VALLECAS,447453.54,4468963.83,MARTES_MAÑANA_8:45_10:15,"Avenida Villa de Vallecas, 13"
CalleSimca_4InterseccionconCalleDodge,Calle,Simca,4,USERA,439712.1,4468664.29,MARTES_MAÑANA_8:45_10:15,"Calle Simca, 4"
PlazaNavio_1,Plaza,Navío,1,BARAJAS,450116.69,4478506.26,MARTES_MAÑANA_8:45_10:15,"Plaza Navío, 1"
GlorietaRuizJimenez_8,Glorieta,Ruíz Jiménez,8,CENTRO,440138.36,4475639.72,MARTES_MAÑANA_8:45_10:15,"Glorieta Ruíz Jiménez, 8"
AvenidaOrcasur_44InterseccionconCalleArenasdelRey_juntoalCentrodeSalud,Avenida,Orcasur,44,USERA,440506.5,4468567.22,MARTES_MAÑANA_10:30_12:00,"Avenida Orcasur, 44"
BulevarNaturaleza_13,Bulevar,Naturaleza,13,VILLA DE VALLECAS,446534.33,4469272.76,MARTES_MAÑANA_10:30_12:00,"Bulevar Naturaleza, 13"
CalleRioja_27,Calle,Rioja,27,BARAJAS,450374.7,4478971.54,MARTES_MAÑANA_10:30_12:00,"Calle Rioja, 27"
CalleAndaluces_9,Calle,Andaluces,9,PUENTE VALLECAS,445969.39,4471231.37,MARTES_MAÑANA_12:15_13:45,"Calle Andaluces, 9"
CallePeriana_6,Calle,Periana,6,USERA,441543.92,4468873.4,MARTES_MAÑANA_12:15_13:45,"Calle Periana, 6"
CalleSantaIsabel_47,Calle,Santa Isabel,47,CENTRO,440935.1,4473450.87,MARTES_MAÑANA_12:15_13:45,"Calle Santa Isabel, 47"
PlazaMayordeBarajas_19,Plaza,Mayor de Barajas,19,BARAJAS,451060.24,4480473.35,MARTES_MAÑANA_12:15_13:45,"Plaza Mayor de Barajas, 19"
CalledelSantuario_InterseccionconCalleHijasdeJesusyCalleSanAntoniodePadua,Calle,del Santuario,,USERA,440572.26,4470721.15,MARTES_TARDE_14:00_15:30,"Calle del Santuario, "
