Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
169252,SITUADO-APARCABICICLETAS-CERCANO-A-COLEGIO-SAGRADO-CORAZON,169252,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"CALLE PARAGUAY,8,8"
169332,SITUADO-APARCABICICLETAS-CENTRO-MEDICO-MILENIUM-COSTA-RICA,169332,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"PLAZA JOSE MARIA SOLER,7,7"
169946,SITUADO-APARCABICICLETAS-COLEGIO-NUESTRA-SEÑORA-DE-LA-MERCED,169946,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Avenida de Alfonso XIII, Madrid,165"
170048,SITUADO-APARCABICICLETAS-JUNTO-A-PLAZA-RUTILIO-GARCIS,170048,2,Arganzuela,23,La Chopera,https://wikidata.org/entity/Q3773750,OPERATIVO,"CALLE GUILLERMO DE OSMA,10,10"
170099,SITUADO-APARCABICICLETAS-JUNTO-A-JARDIN-DE-GLORIA-FUERTES,170099,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Avenida de Alfonso XIII, Madrid,180"
170181,SITUADO-APARCABICICLETAS-EMBAJADA-DE-COSTA-RICA,170181,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"Calle de Juan Hurtado de Mendoza, Madrid,1"
170579,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-MIGUEL-DE-UNAMUNO,170579,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"CALLE ALICANTE,7,7"
172923,SITUADO-APARCABICICLETAS-EN-EL-PARQUE,172923,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"CALLE RAMIREZ DE PRADO,6,6"
172981,SITUADO-APARCABICICLETAS-CERCA-ESTACION-DE-METRO-PLAZA-DE-CASTILLA,172981,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"plaza de Castilla,9"
173321,SITUADO-APARCABICICLETAS-CENTRO-DEPORTIVO-MUNICIPAL-PEÑUELAS,173321,2,Arganzuela,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"CALLE ARGANDA,42,42"
173548,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-ARQUITECTO-GAUDI,173548,5,Chamartín,55,Nueva España,https://wikidata.org/entity/Q10338128,OPERATIVO,"CALLE ROSA JARDON,6,6"
173555,SITUADO-APARCABICICLETAS-ARCHIVO-REGIONAL-DE-LA-COMUNIDAD-DE-MADRID,173555,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"Calle del General Lacy, Madrid,25"
173669,SITUADO-APARCABICICLETAS-BIBLIOTECA-PUBLICA-MUNICIPAL-PIO-BAROJA,173669,2,Arganzuela,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"CALLE ARGANDA,10C,10C"
173919,SITUADO-APARCABICICLETAS-ESTACION-DE-CERCANIAS-DELICIAS,173919,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"Paseo de las Delicias, Madrid,61A"
173964,SITUADO-APARCABICICLETAS-AYUNTAMIENTO-DE-MADRID,173964,2,Arganzuela,25,Las Delicias,https://wikidata.org/entity/Q3773736,OPERATIVO,"calle de Vara de Rey,11"
175086,SITUADO-APARCABICICLETAS-JUNTO-A-CARRIL-BICI,175086,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"GLORIETA SANTA MARIA DE LA CABEZA,2,2"
175640,SITUADO-APARCABICICLETAS-ESCUELA-INFANTIL-EL-ALBA,175640,2,Arganzuela,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"Calle de Toledo,181"
175788,SITUADO-APARCABICICLETAS-I.E.S.-GRAN-CAPITAN,175788,2,Arganzuela,21,Imperial,https://wikidata.org/entity/Q3773740,OPERATIVO,"PASEO MELANCOLICOS,51,51"
176608,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-MPAL-GALLUR,176608,10,Latina,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,"CALLE GALLUR,1,1"
176854,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-GALLUR,176854,10,Latina,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,"CALLE GALLUR,2,2"
177370,SITUADO-APARCABICICLETAS-CENTRO-CULTURAL-SARA-MONTIEL,177370,10,Latina,105,Campamento,https://wikidata.org/entity/Q31169,OPERATIVO,"CARRETERA BOADILLA DEL MONTE,40,40"
178375,SITUADO-APARCABICICLETAS-CENTRO-CULTURAL-JOSE-LUIS-SAMPREDO,178375,10,Latina,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE CASTROSERNA,4,4"
179215,SITUADO-APARCABICICLETAS-CENTRO-CONCERTADO-COLEGIO-LOURDES,179215,10,Latina,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE SAN ROBERTO,8,8"
179635,SITUADO-APARCABICICLETAS-C/SAN-LEON-3,179635,10,Latina,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE SAN JUAN DE MATA,21,21"
181120,SITUADO-APARCABICICLETAS-C.P-SAN-JOSE-DE-CALASANZ,181120,10,Latina,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,"CALLE MARIA DEL CARMEN,62,62"
