ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,DISTRITO_2,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
56,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 15 A 17 AÑOS,Hombre,2
57,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 0 A 5 AÑOS,Hombre,2
58,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión frontal,Conductor,DE 45 A 49 AÑOS,Mujer,2
59,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión frontal,Conductor,DE 40 A 44 AÑOS,Hombre,3
60,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Hombre,0
61,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Pasajero,DE 21 A 24 AÑOS,Hombre,0
62,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,0
63,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Conductor,DE 18 A 20 AÑOS,Hombre,3
64,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,14
65,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,Centro,https://wikidata.org/entity/Q1763376,Alcance,Conductor,DE 60 A 64 AÑOS,Mujer,0
66,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,Centro,https://wikidata.org/entity/Q1763376,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
67,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,0
68,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 25 A 29 AÑOS,Mujer,0
69,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 30 A 34 AÑOS,Hombre,0
70,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
71,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Peatón,DE 10 A 14 AÑOS,Hombre,1
72,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,Villaverde,https://wikidata.org/entity/Q919536,Atropello a persona,Conductor,DE 25 A 29 AÑOS,Hombre,14
73,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,Villaverde,https://wikidata.org/entity/Q919536,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
74,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,Villaverde,https://wikidata.org/entity/Q919536,Atropello a persona,Peatón,DE 25 A 29 AÑOS,Hombre,2
75,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,Latina,https://wikidata.org/entity/Q794954,Colisión múltiple,Conductor,DE 30 A 34 AÑOS,Hombre,0
76,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,Latina,https://wikidata.org/entity/Q794954,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,0
77,2021S000472,2021-02-01T22:00:00Z,CALL. CAMARENA,57,Latina,https://wikidata.org/entity/Q794954,Colisión múltiple,Conductor,DE 40 A 44 AÑOS,Hombre,0
78,2021S000063,2021-02-01T21:30:00Z,AUTOV. M-30. +011800E,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión múltiple,Conductor,DE 25 A 29 AÑOS,Hombre,2
