Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
161,Hospital de Mostoles,https://wikidata.org/entity/Q2484422,Calle,del,Rio Sella,N,10,28934,4,Salamanca,https://wikidata.org/entity/Q1773521,425790,4463464
162,Conservatorio,https://wikidata.org/entity/Q602081,Avda,de las,Arcas del Agua,N,5,28905,3,Retiro,https://wikidata.org/entity/Q2002296,436724,4460780
163,Loranca,https://wikidata.org/entity/Q2484967,Calle,de la,Alegria,N,4,28942,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,428915,4461245
164,Hospital de Fuenlabrada,https://wikidata.org/entity/Q576330,Cmno,del,Molino,N,3,28942,7,Chamberi,https://wikidata.org/entity/Q1763370,430711,4460001
165,Parque Europa,https://wikidata.org/entity/Q2484940,Calle,de,Francia,N,34,28943,7,Chamberi,https://wikidata.org/entity/Q1763370,431569,4459929
166,Canal,https://wikidata.org/entity/Q2479455,Calle,de,Bravo Murillo,N,40,28015,7,Chamberi,https://wikidata.org/entity/Q1763370,440374,4476864
167,Quevedo,https://wikidata.org/entity/Q747162,Gta,de,Quevedo,N,1,28015,7,Chamberi,https://wikidata.org/entity/Q1763370,440369,4476288
168,Arroyo Culebro,https://wikidata.org/entity/Q2484959,Paseo,de,Juan Jose Roson,N,1,28905,3,Retiro,https://wikidata.org/entity/Q2002296,435780,4460288
169,Alonso de Mendoza,https://wikidata.org/entity/Q2484972,Calle,del,Greco,N,6,28904,3,Retiro,https://wikidata.org/entity/Q2002296,437507,4461613
170,Los Espartales,https://wikidata.org/entity/Q2485060,Avda,,Rigoberta Menchu,N,3,28903,2,Arganzuela,https://wikidata.org/entity/Q2000929,439095,4464199
171,Alto del Arenal,https://wikidata.org/entity/Q2479465,Calle,de,Santillana del Mar,N,21,28038,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,445348,4471427
172,Julian Besteiro,https://wikidata.org/entity/Q2484526,Avda,,Rey Juan Carlos I,N,23,28915,4,Salamanca,https://wikidata.org/entity/Q1773521,436177,4465391
173,Delicias,https://wikidata.org/entity/Q3306947,Paseo,de las,Delicias,N,60,28045,2,Arganzuela,https://wikidata.org/entity/Q2000929,441200,4472583
174,San Nicasio,https://wikidata.org/entity/Q2484393,Avda,,Mar Mediterraneo,SN,S/N,28918,3,Retiro,https://wikidata.org/entity/Q2002296,434207,4465565
