Column,Column2,File,id_provincia,PROVINCIA,same_as_wikidata_provincia,id_municipio,MUNICIPIO,same_as_wikidata_municipio,ESTACION,ESTACION_NAME,MAGNITUD,MAGNITUD_NAME,DATE,D01,V01
95,95,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,7,Monoxido de Nitrogeno (ug/m3),2018-12-01T00:00:00Z,56.0,V
96,96,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-01-01T00:00:00Z,47.0,V
97,97,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-02-01T00:00:00Z,81.0,V
98,98,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-03-01T00:00:00Z,45.0,V
99,99,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-04-01T00:00:00Z,47.0,V
100,100,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-05-01T00:00:00Z,32.0,V
101,101,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-06-01T00:00:00Z,66.0,V
102,102,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-07-01T00:00:00Z,31.0,V
103,103,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-08-01T00:00:00Z,77.0,V
104,104,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-09-01T00:00:00Z,44.0,V
105,105,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-10-01T00:00:00Z,45.0,V
106,106,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-11-01T00:00:00Z,56.0,V
107,107,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,8,Dioxido de Nitrogeno (ug/m3),2018-12-01T00:00:00Z,70.0,V
108,108,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,9,Particulas menores a 2.5um (ug/m3),2018-01-01T00:00:00Z,5.0,V
109,109,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,9,Particulas menores a 2.5um (ug/m3),2018-02-01T00:00:00Z,14.0,V
110,110,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,9,Particulas menores a 2.5um (ug/m3),2018-03-01T00:00:00Z,3.0,V
111,111,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,9,Particulas menores a 2.5um (ug/m3),2018-04-01T00:00:00Z,5.0,V
112,112,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,8,Escuelas Aguirre,9,Particulas menores a 2.5um (ug/m3),2018-05-01T00:00:00Z,3.0,V
