EXPEDIENTE,DATETIME,CALLE,CALLEWIKIDATA,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S003640,2021-10-03T07:54:00ZZ,Calle_de_Mateo_Inurria_Madrid,https://wikidata.org/entity/Q26821557,58,Chamartin,Caída,Despejado,Bicicleta,10101,Peatón,De 40 a 44 años,Mujer,14
2021S003661,2021-10-03T17:22:00ZZ,calle_de_Pradillo,https://wikidata.org/entity/Q55868790,34,Chamartin,Alcance,Despejado,Bicicleta,10102,Conductor,De 21 a 24 años,Hombre,14
2021S003666,2021-10-03T14:40:00ZZ,Paseo_de_La_Habana_Madrid,https://wikidata.org/entity/Q28059068,72,Chamartin,Caída,Despejado,Bicicleta,10103,Conductor,De 50 a 54 años,Hombre,7
2021S003668,2021-11-03T15:10:00ZZ,Calle_de_Trafalgar_Madrid,https://wikidata.org/entity/Q28024216,25,Chamberi,Caída,Despejado,Bicicleta,10104,Conductor,Más de 74 años,Hombre,5
2021S003918,2021-03-13T11:10:00ZZ,Parque_Juan_Carlos_I_de_Pinto_Madrid,https://wikidata.org/entity/Q109187261,1,Barajas,Atropello a persona,Despejado,Bicicleta,10105,Conductor,De 50 a 54 años,Hombre,2
2021S003918,2021-03-13T11:10:00ZZ,Parque_Juan_Carlos_I_de_Pinto_Madrid,https://wikidata.org/entity/Q109187261,1,Barajas,Atropello a persona,Despejado,Bicicleta,10106,Peatón,De 35 a 39 años,Mujer,2
2021S003930,2021-03-13T22:18:00ZZ,Calle_de_Bravo_Murillo,https://wikidata.org/entity/Q5740815,309,Tetuan,Alcance,,Bicicleta,10107,Conductor,De 25 a 29 años,Hombre,
2021S003969,2021-03-14T11:00:00ZZ,CALLE_ARROYOFRESNO,,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10108,Conductor,De 65 a 69 años,Hombre,7
2021S003998,2021-03-14T15:45:00ZZ,Avenida_del_Doctor_Garcia_Tapia_Madrid,https://wikidata.org/entity/Q28935864,53,Moratalaz,Colisión fronto-lateral,Despejado,Bicicleta,10109,Conductor,De 18 a 20 años,Hombre,
2021S004021,2021-03-15T15:30:00ZZ,calle_de_Galileo,https://wikidata.org/entity/Q27031392,86,Chamberi,Colisión lateral,Despejado,Bicicleta,10110,Conductor,De 15 a 17 años,Mujer,7
2021S004021,2021-03-15T15:30:00ZZ,calle_de_Galileo,https://wikidata.org/entity/Q27031392,86,Chamberi,Colisión lateral,Despejado,Bicicleta,10111,Conductor,De 18 a 20 años,Hombre,14
2021S004032,2021-03-14T13:00:00ZZ,PASEO_TORRECILLA,,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10112,Conductor,De 40 a 44 años,Hombre,7
2021S004032,2021-03-14T13:00:00ZZ,PASEO_TORRECILLA,,4,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10113,Conductor,De 50 a 54 años,Hombre,14
2021S004063,2021-03-16T14:20:00ZZ,Gran_Via,https://wikidata.org/entity/Q1324163,70,Centro,Colisión fronto-lateral,Despejado,Bicicleta,10114,Conductor,De 35 a 39 años,Hombre,7
2021S004066,2021-03-16T16:40:00ZZ,PASEO_EMBARCADERO,,1,Moncloa-Aravaca,Caída,Despejado,Bicicleta,10115,Conductor,De 50 a 54 años,Hombre,6
2021S004147,2021-03-17T16:05:00ZZ,Paseo_del_Prado,https://wikidata.org/entity/Q2079615,11,Retiro,Alcance,Despejado,Bicicleta,10116,Conductor,De 55 a 59 años,Hombre,7
2021S004190,2021-03-17T22:15:00ZZ,Paseo_de_la_Esperanza_Madrid,https://wikidata.org/entity/Q55947011,11,Arganzuela,Caída,Despejado,Bicicleta,10117,Conductor,De 21 a 24 años,Hombre,1
2021S004219,2021-03-18T15:00:00ZZ,Claudio_Coello_Street,https://wikidata.org/entity/Q28059043,90,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,10118,Conductor,De 25 a 29 años,Mujer,7
2021S004294,2021-03-19T16:20:00ZZ,CALLE_VIA_DE_DUBLIN,,3,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,10119,Conductor,De 50 a 54 años,Hombre,7
2021S004316,2021-03-19T22:00:00ZZ,Calle_del_Doctor_Esquerdo_Madrid,https://wikidata.org/entity/Q5741005,96,Retiro,Colisión fronto-lateral,Despejado,Bicicleta,10120,Conductor,De 25 a 29 años,Hombre,2
2021S004356,2021-03-14T12:38:00ZZ,PASEO_EMBARCADERO,,2,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10121,Conductor,Desconocido,Desconocido,
2021S004356,2021-03-14T12:38:00ZZ,PASEO_EMBARCADERO,,2,Moncloa-Aravaca,Colisión fronto-lateral,Despejado,Bicicleta,10122,Conductor,De 45 a 49 años,Hombre,1
2021S004358,2021-03-18T10:30:00ZZ,CALLE_JOSE_DE_CADALSO,,130,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10123,Conductor,De 40 a 44 años,Mujer,1
2021S004358,2021-03-18T10:30:00ZZ,CALLE_JOSE_DE_CADALSO,,130,Latina,Colisión fronto-lateral,Despejado,Bicicleta,10124,Peatón,De 18 a 20 años,Hombre,14
2021S004370,2021-03-20T12:10:00ZZ,AVENIDA_LA_GAVIA,,42,Villa_de_Vallecas,Atropello a persona,Despejado,Bicicleta,10125,Conductor,De 6  a  9 años,Hombre,14
2021S004370,2021-03-20T12:10:00ZZ,AVENIDA_LA_GAVIA,,42,Villa_de_Vallecas,Atropello a persona,Despejado,Bicicleta,10126,Peatón,De 70 a 74 años,Mujer,7
2021S004374,2021-03-20T13:10:00ZZ,Avenida_de_Guadalajara_Madrid,https://wikidata.org/entity/Q52063521,69,San_Blas,Colisión lateral,Despejado,Bicicleta,10127,Conductor,De 40 a 44 años,Hombre,1
2021S004392,2021-03-17T18:35:00ZZ,CARRETERA_SOMONTES_AL_PALACIO_DE_LA_REAL_QUINTA,,1,Fuencarral-El_Pardo,Caída,Despejado,Bicicleta,10128,Conductor,De 35 a 39 años,Hombre,6
